Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
70, eco4, 3, 6583, -131.1, 1411.2, 3452, 245.9, 25.7, 103.8, 63, 3.67, 162.6, 5.3, 21.5, 3.3, 1561.4, 163, 332.6, 35, 349.3, 74.9, 73.2, 6.7, 33.5, 30.1, 219.6, 1128, 0.7, 0.1, 6.3, 1.5, 1.6, 0.3, 1.7, 2.1, 0.4, 0.4, 1.1, 3.3, 5.3, 134.1, 0, -0.4, 0, 0, 1.4, 2.1, -1.4, 0, 30.03, 0.02, 0.06, 87, 0.8, 2.9, 2.3, 152.1, 2.23, 0, 
70, eco5, 4, 14637, -137.8, 1893.9, 2977.2, 236.4, 27.8, 99.8, 53.5, 3, 218.9, 4.5, 47.7, 9.3, 1235.5, 147.2, 325.1, 39.4, 377.2, 59.6, 74.8, 7.3, 30.3, 27, 208.4, 1628.2, 1, 0.2, 5.2, 1.5, 1.4, 0.4, 1.9, 1.7, 0.4, 0.3, 0.9, 2.9, 4.8, 193.1, 0, -0.3, 0, 0, 1, 2, -1.3, 0, 28.94, 0.02, 0.13, 94.2, 0.8, 3.7, 2, 209, 1.71, 0, 
80, eco2, 1, 10, 1.6, 1004.5, 1.4, 0, 0, 0, 0, 3.91, 122.8, 0.1, 0, 0, 0, 0, 1.7, 0.1, 3.6, 0.3, 1.3, 0, 0.2, 0.5, 3.4, 1000.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 118.6, 0, 0, 0, 0, 0, 0, 0, 0, 27.14, 0, 0.33, 4.1, 0, 0, 0, 122.8, 3.13, 0, 
80, eco3, 2, 9902, -18.2, 1585.6, 5284.3, 193.5, 20.3, 79.9, 99.4, 3.52, 178.8, 7.1, 23.6, 3.4, 2440.5, 250.1, 496.9, 52.5, 476.3, 83.2, 106.6, 7.1, 46.6, 42.3, 313, 1183.6, 0.8, 0.1, 9.5, 2.1, 2.3, 0.5, 2.4, 2.3, 0.5, 0.4, 1.4, 4.8, 7.2, 141, 0, -0.5, 0, 0, 2, 2.9, -2.3, 0, 29.73, 0.36, 0.56, 113.4, 1.2, 3, 1.9, 163.5, 2.2, 0, 
80, eco4, 3, 6583, 1.1, 1406.4, 3286.6, 111.7, 12.4, 48.7, 56.7, 3.84, 161.6, 4.6, 18.7, 3, 1496.1, 156.1, 329.5, 34.7, 329.8, 50, 73.5, 4.4, 30.2, 29.4, 216.8, 1130, 0.5, 0.1, 6, 1.4, 1.5, 0.3, 1.7, 1.4, 0.4, 0.2, 0.9, 3.4, 5.4, 134.4, 0, -0.3, 0, 0, 1.2, 2, -1.5, 0, 29.35, 0.12, 0.39, 98.2, 1.1, 2, 1, 151.6, 2.63, 0, 
80, eco5, 4, 14637, 37, 1876.4, 2569.3, 51.2, 9.6, 24.7, 43.3, 3.76, 216.8, 3.3, 48.4, 9.6, 1055.5, 128.8, 300.6, 36.8, 336.2, 23.9, 73.7, 4.1, 24.1, 25.2, 197.2, 1629.8, 1, 0.2, 4.4, 1.4, 1.3, 0.4, 1.7, 0.6, 0.4, 0.2, 0.5, 2.9, 4.7, 193.4, 0, -0.1, 0, 0, 0.6, 1.7, -1.3, 0, 29.2, 0.19, 0.97, 90.4, 0.8, 0.7, 0.3, 208.1, 3, 0, 
90, eco2, 1, 10, 0.3, 1001.5, 14.8, 0, 0, 0, 0, 4.05, 122.7, 0, 0, 0, 0, 0, 0.1, 0, 2.3, 0, 1, 0, 0, 0.1, 0.9, 1000.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118.6, 0, 0, 0, 0, 0, 0, 0, 0, 33.06, 0, 0.08, 0, 0, 0, 0, 122.7, 3.14, 0, 
90, eco3, 2, 9902, 80.5, 1607.7, 5485, 111.3, 12.5, 48.1, 99.4, 4.42, 180.6, 7.4, 16.1, 3, 2479.9, 254.4, 515.8, 54.4, 495.6, 81.8, 111.2, 6.6, 49.2, 44.2, 327.5, 1186.8, 0.4, 0.1, 9.5, 2.1, 2.3, 0.5, 2.5, 2.3, 0.6, 0.4, 1.5, 5.1, 7.6, 141.5, 0, -0.6, 0, 0, 2.2, 2.9, -2.5, 0, 29.16, 0.07, 0.22, 115.5, 1.2, 2.2, 1, 165.8, 2.77, 0, 
90, eco4, 3, 6583, 13.1, 1419.2, 3692.3, 108.9, 12.2, 42.9, 67.8, 3.99, 163.6, 5, 12.4, 2.4, 1636, 170.3, 349.9, 37.5, 372.2, 61.3, 78, 5.3, 34.3, 30.4, 222.5, 1132, 0.3, 0.1, 6.8, 1.6, 1.7, 0.4, 1.9, 1.8, 0.4, 0.3, 1.1, 3.4, 5.3, 134.7, 0, -0.4, 0, 0, 1.5, 1.9, -1.5, 0, 29.81, 0.03, 0.13, 65.2, 0.7, 2.2, 0.9, 152.9, 2.54, 0, 
90, eco5, 4, 14637, 23.6, 1866, 2480, 63.9, 9.8, 30.4, 41.1, 3.73, 216.5, 3.4, 39.7, 7.9, 1017.9, 123.2, 281.7, 34.5, 329.7, 32.8, 74.4, 4.6, 24.5, 23.9, 186.2, 1631.4, 0.8, 0.2, 4.3, 1.3, 1.2, 0.4, 1.6, 0.9, 0.4, 0.2, 0.6, 2.7, 4.5, 193.7, 0, -0.2, 0, 0, 0.7, 1.6, -1.3, 0, 29.52, 0.08, 0.46, 79.6, 0.6, 1.1, 0.5, 208.3, 2.77, 0, 
100, eco2, 1, 10, 0.2, 1001.1, 14.6, 0, 0, 0, 0, 3.96, 122.6, 0, 0, 0, 0, 0, 0.2, 0, 1.7, 0, 0.7, 0, 0, 0.1, 0.5, 1000.4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118.6, 0, 0, 0, 0, 0, 0, 0, 0, 31.78, 0, 0.17, 0.2, 0, 0, 0, 122.6, 3.11, 0, 
