EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
785, 99, 506, 611, 28.9652445710092, 70, Rx, 1, 191, 3202, 20.0542995631414, 22.0555437442885, 130.994764397906, 0, 18.2, 0.994764397905759, 1.45, 209899, 2, 137, 0, 
786, 99, 585, 617, 18.8368862055857, 71, Rx, 1, 191, 3187, 16.5230029225131, 16.2727781172259, 142.303664921466, 0, 16.75, 0.994764397905759, 1.58, 256949, 0, 151, 0, 
787, 99, 499, 695, 14.0513150215794, 72, Rx, 1, 191, 2253, 8.69203381570683, 9.14648761216226, 137.591623036649, 0, 11.98, 0.994764397905759, 1.53, 196876, 0, 146, 0, 
788, 99, 508, 725, 14.4656347103808, 73, Rx, 1, 191, 2127, 7.76663517863873, 12.2092653068962, 139.476439790576, 0, 11.37, 0.994764397905759, 1.54, 142681, 2, 146, 0, 
789, 99, 601, 704, 20.4091716892891, 74, Rx, 1, 191, 1848, 11.5058244779058, 14.8281264479629, 144.188481675393, 0, 16.11, 0.994764397905759, 1.52, 245598, 15, 138, 0, 
790, 99, 580, 656, 16.0119167188067, 75, Rx, 1, 191, 916, 9.05089610261779, 13.3888792951806, 143.246073298429, 0, 13.3, 0.994764397905759, 1.47, 71374, 23, 129, 0, 
791, 99, 563, 730, 18.9644886268475, 76, Rx, 1, 192, 1807, 7.72571539687501, 11.4044491765569, 133.125, 0, 13.89, 0.994791666666667, 1.47, 278626, 1, 141, 0, 
792, 99, 510, 712, 20.7529403943293, 77, Rx, 1, 191, 2049, 9.17160572732987, 9.8522588173829, 136.649214659686, 0, 14.25, 0.994764397905759, 1.51, 149552, 2, 143, 0, 
793, 100, 527, 678, 18.6780296649947, 70, Rx, 1, 191, 1588, 13.0340951170681, 14.3391096695806, 131.937172774869, 0, 11.42, 0.994764397905759, 1.47, 163295, 0, 140, 0, 
794, 100, 615, 682, 17.6768436034763, 71, Rx, 1, 191, 568, 12.7031127907853, 14.5425862668701, 130.052356020942, 0, 12.72, 0.994764397905759, 1.4, 144881, 9, 129, 0, 
795, 100, 645, 545, 17.0852347045572, 72, Rx, 1, 193, 5014, 17.6110042084975, 19.0438604200452, 149.222797927461, 0, 14.15, 0.994818652849741, 1.66, 342541, 0, 160, 0, 
796, 100, 605, 695, 14.0243008180446, 73, Rx, 1, 192, 1434, 8.00263919999999, 11.4908743712784, 142.5, 0, 11.28, 0.994791666666667, 1.58, 202330, 0, 152, 0, 
797, 100, 635, 555, 16.2051104306201, 74, Rx, 1, 191, 3497, 13.5897304881675, 12.5773136350766, 138.534031413613, 0, 12.47, 0.994764397905759, 1.54, 227538, 0, 147, 0, 
798, 100, 515, 684, 18.6405529712984, 75, Rx, 1, 191, 1358, 17.2141223748691, 20.3489806027534, 138.534031413613, 0, 14.35, 0.994764397905759, 1.53, 82268, 2, 145, 0, 
799, 100, 544, 597, 39.7064811191186, 76, Rx, 1, 191, 2432, 21.6591547608377, 27.1194252669735, 138.534031413613, 0, 21.66, 0.994764397905759, 1.52, 226771, 4, 143, 0, 
800, 100, 523, 669, 43.2400631697277, 77, Rx, 1, 191, 2777, 29.6271023560209, 29.5921902336244, 139.476439790576, 0, 28.93, 0.994764397905759, 1.55, 207653, 0, 148, 0, 
801, 101, 493, 726, 12.5876832867074, 70, Rx, 1, 191, 1682, 8.84704767078533, 7.89040303246915, 143.246073298429, 0, 11.3, 0.994764397905759, 1.42, 146850, 33, 119, 0, 
802, 101, 613, 643, 22.5148252427646, 71, Rx, 1, 191, 2057, 17.196923591623, 17.7801727445366, 136.649214659686, 0, 15.77, 0.994764397905759, 1.47, 144150, 9, 136, 0, 
803, 101, 574, 654, 22.4967727814907, 72, Rx, 1, 192, 3444, 18.6908476125, 21.1148123445914, 142.5, 0, 17.78, 0.994791666666667, 1.56, 239311, 4, 148, 0, 
804, 101, 586, 525, 14.1786226513393, 73, Rx, 1, 191, 413, 6.76646321089005, 8.77779768947525, 131.937172774869, 0, 11.36, 0.994764397905759, 1.16, 54721, 59, 81, 0, 
805, 101, 523, 731, 21.7190305087626, 74, Rx, 1, 191, 4513, 15.3737936952879, 17.1491672740992, 134.764397905759, 0, 16.24, 0.994764397905759, 1.5, 254514, 0, 143, 0, 
806, 101, 532, 771, 21.564326017809, 75, Rx, 1, 191, 2340, 10.7819974064921, 11.9608175666304, 132.879581151832, 0, 15.36, 0.994764397905759, 1.48, 262143, 0, 141, 0, 
807, 101, 533, 698, 17.1397719488676, 76, Rx, 1, 191, 3686, 11.7855164959162, 14.8078396935318, 131.937172774869, 0, 15.87, 0.994764397905759, 1.47, 245626, 0, 140, 0, 
808, 101, 615, 524, 27.4522870155439, 77, Rx, 1, 191, 1010, 16.8819281189529, 18.3636583388399, 147.015706806283, 0, 22.29, 0.994764397905759, 1.29, 129127, 66, 90, 0, 
809, 102, 473, 699, 10.1106134728481, 71, Rx, 1, 191, 885, 4.35243515937173, 6.2414907553268, 133.821989528796, 0, 7.88, 0.994764397905759, 1.12, 87364, 70, 72, 0, 
810, 102, 587, 523, 17.6245031574038, 72, Rx, 1, 191, 245, 11.9743311562304, 12.7039419036277, 130.994764397906, 0, 12.88, 0.994764397905759, 1.08, 18211, 72, 67, 0, 
811, 102, 509, 620, 17.8840621045678, 73, Rx, 1, 191, 3182, 15.3563894952879, 16.9982213972162, 135.706806282723, 0, 13.48, 0.994764397905759, 1.51, 252625, 0, 144, 0, 
812, 102, 481, 685, 13.1189341736401, 74, Rx, 1, 191, 2161, 7.61904922806284, 8.77371280345719, 147.015706806283, 0, 11.25, 0.994764397905759, 1.47, 223950, 32, 124, 0, 
813, 102, 531, 683, 20.153084897982, 75, Rx, 1, 191, 2566, 15.4375869863874, 16.9119184812915, 131.937172774869, 0, 14.93, 0.994764397905759, 1.47, 159989, 0, 140, 0, 
814, 102, 471, 682, 14.369245331551, 76, Rx, 1, 191, 656, 7.56295576586386, 9.40686111063004, 145.130890052356, 0, 12.04, 0.994764397905759, 1.18, 68943, 83, 71, 0, 
815, 102, 542, 777, 27.9345685451392, 77, Rx, 1, 191, 1933, 18.6672339329843, 18.7848751200865, 140.418848167539, 0, 21.79, 0.994764397905759, 1.56, 231145, 0, 149, 0, 
816, 102, 576, 575, 21.5217350548749, 78, Rx, 1, 191, 2079, 14.8663256230367, 15.5413595080313, 134.764397905759, 0, 16.75, 0.994764397905759, 1.5, 149656, 0, 143, 0, 
817, 103, 560, 645, 17.3144862324931, 73, Rx, 1, 191, 2116, 18.5995768372775, 23.9455665757961, 134.764397905759, 0, 12.96, 0.994764397905759, 1.43, 119860, 12, 131, 0, 
818, 103, 605, 517, 15.8604361515554, 74, Rx, 1, 191, 52, 13.0683464896335, 13.349529608017, 143.246073298429, 0, 12.75, 0.994764397905759, 0.85, 8024, 142, 10, 0, 
819, 103, 485, 710, 19.0856818760305, 76, Rx, 1, 191, 3466, 13.6847193210471, 15.4370946517707, 136.649214659686, 0, 13.86, 0.994764397905759, 1.49, 317351, 6, 139, 0, 
820, 103, 521, 710, 37.8708920450417, 77, Rx, 1, 192, 3348, 31.6123761750001, 33.4347060039789, 135, 0, 29.63, 0.994791666666667, 1.5, 241812, 0, 144, 0, 
821, 103, 625, 611, 33.4636211118374, 78, Rx, 1, 191, 2978, 33.8782406513089, 37.0391386569255, 155.497382198953, 0, 29.11, 0.994764397905759, 1.6, 275481, 25, 140, 0, 
822, 103, 545, 746, 24.1433328732353, 79, Rx, 1, 191, 2220, 21.2687189434555, 22.0673719557336, 139.476439790576, 0, 20.54, 0.994764397905759, 1.55, 229092, 0, 148, 0, 
823, 103, 577, 533, 18.6887798055957, 80, Rx, 1, 191, 1223, 16.4451620657591, 15.6861520744971, 137.591623036649, 0, 14.51, 0.994764397905759, 1.49, 99239, 7, 139, 0, 
824, 103, 551, 587, 24.0576843426487, 82, Rx, 1, 191, 1526, 18.7525546265969, 21.0141496875286, 133.821989528796, 0, 19.17, 0.994764397905759, 1.36, 143292, 25, 117, 0, 
825, 104, 582, 554, 15.571998677118, 70, Rx, 1, 191, 2479, 16.5599438324607, 17.7338814397013, 141.361256544503, 0, 14.72, 0.994764397905759, 1.57, 206047, 0, 150, 0, 
826, 104, 564, 615, 20.5708179153934, 71, Rx, 1, 191, 2477, 17.561834104712, 20.835560484685, 142.303664921466, 0, 16.76, 0.994764397905759, 1.49, 206533, 17, 134, 0, 
827, 104, 581, 628, 22.4967727814907, 72, Rx, 1, 191, 1590, 16.5370895246073, 20.7050377881976, 138.534031413613, 0, 16.97, 0.994764397905759, 1.49, 144623, 10, 137, 0, 
828, 104, 582, 569, 19.1801143647068, 73, Rx, 1, 191, 1602, 12.9699587912042, 13.3364751389381, 141.361256544503, 0, 14.53, 0.994764397905759, 1.55, 112981, 3, 147, 0, 
829, 104, 648, 547, 21.7190305087626, 74, Rx, 1, 192, 3808, 17.256546975, 19.1366033632307, 150.9375, 0, 18.2, 0.994791666666667, 1.68, 230584, 0, 161, 0, 
830, 104, 530, 610, 16.5790723747032, 75, Rx, 1, 194, 2881, 10.0073170206186, 13.8289790532535, 143.814432989691, 0, 13.66, 0.994845360824742, 1.53, 215711, 14, 141, 0, 
831, 104, 622, 645, 17.1397719488676, 76, Rx, 1, 192, 3686, 10.791445215, 13.2706849823313, 139.6875, 0, 14.88, 0.994791666666667, 1.55, 215423, 0, 149, 0, 
832, 104, 608, 592, 22.5748839764468, 77, Rx, 1, 192, 1090, 14.83299519375, 16.2109474244557, 141.5625, 0, 17.75, 0.994791666666667, 1.43, 68367, 28, 123, 0, 
833, 105, 515, 682, 14.5611943603775, 71, Rx, 1, 192, 1304, 11.966553, 15.8105273353899, 132.1875, 0, 10.71, 0.994791666666667, 1.47, 78464, 0, 141, 0, 
834, 105, 630, 600, 17.8946275820465, 72, Rx, 1, 191, 1630, 16.3702904645027, 18.1932797118244, 144.188481675393, 0, 14.37, 0.994764397905759, 1.49, 131866, 21, 132, 0, 
835, 105, 561, 659, 23.4538502175056, 73, Rx, 1, 191, 3053, 13.0340556150785, 18.5376321380432, 138.534031413613, 0, 13.07, 0.994764397905759, 1.46, 202107, 16, 131, 0, 
836, 105, 553, 695, 21.9404525948241, 74, Rx, 1, 191, 2266, 19.114082681466, 24.760920598298, 137.591623036649, 0, 18.87, 0.994764397905759, 1.53, 236304, 0, 146, 0, 
837, 105, 506, 695, 23.7135073983875, 75, Rx, 1, 191, 3614, 21.3502330159162, 20.7416982920072, 138.534031413613, 0, 18.26, 0.994764397905759, 1.54, 210338, 0, 147, 0, 
838, 105, 608, 606, 14.0630410379525, 76, Rx, 1, 191, 3436, 10.743881328377, 10.6523270327904, 139.476439790576, 0, 11.32, 0.994764397905759, 1.55, 201800, 0, 148, 0, 
839, 105, 525, 660, 23.528756823141, 77, Rx, 1, 193, 1768, 13.4558252953368, 17.1393890915362, 132.435233160622, 0, 14.59, 0.994818652849741, 1.47, 178077, 0, 142, 0, 
840, 105, 638, 569, 20.7246866453132, 79, Rx, 1, 191, 3189, 18.2495611074346, 19.2415822858454, 147.958115183246, 0, 17.04, 0.994764397905759, 1.64, 195355, 0, 157, 0, 
841, 106, 581, 564, 16.6634596622014, 70, Rx, 1, 191, 1136, 10.7861051742408, 11.868793414813, 138.534031413613, 0, 12.37, 0.994764397905759, 1.53, 102002, 2, 145, 0, 
842, 106, 461, 689, 18.4876302243197, 71, Rx, 1, 191, 361, 11.803618573822, 11.5256597460254, 148.900523560209, 0, 15.28, 0.994764397905759, 0.97, 26040, 130, 28, 0, 
843, 106, 554, 591, 28.0918452785393, 72, Rx, 1, 191, 908, 15.4100242366492, 17.0938688593185, 137.591623036649, 0, 17.95, 0.994764397905759, 1.34, 96323, 36, 110, 0, 
844, 106, 546, 574, 24.6832304661589, 73, Rx, 1, 191, 2133, 14.5926235696335, 16.6370103079692, 132.879581151832, 0, 17.59, 0.994764397905759, 1.48, 217278, 0, 141, 0, 
845, 106, 522, 600, 14.7824147394971, 76, Rx, 1, 191, 1995, 9.13883847455497, 11.6331506966788, 138.534031413613, 0, 11.38, 0.994764397905759, 1.52, 127492, 4, 143, 0, 
846, 106, 624, 678, 48.4843417493955, 77, Rx, 1, 191, 335, 33.7444685340315, 34.5507207708959, 148.900523560209, 0, 39.06, 0.994764397905759, 1.27, 68776, 74, 84, 0, 
847, 106, 552, 624, 18.0996496414604, 78, Rx, 1, 191, 2672, 14.9692914998953, 13.4383020581055, 137.591623036649, 0, 17.48, 0.994764397905759, 1.52, 173839, 1, 145, 0, 
848, 106, 581, 523, 31.4142863619525, 79, Rx, 1, 192, 313, 18.50990377125, 19.9582766284924, 138.75, 0, 22.27, 0.994791666666667, 1.19, 49357, 67, 81, 0, 
849, 107, 572, 580, 12.0180771577968, 70, Rx, 1, 191, 1700, 15.1100031091099, 16.2289907788145, 137.591623036649, 0, 11.84, 0.994764397905759, 1.52, 133047, 1, 145, 0, 
850, 107, 533, 601, 22.061860036978, 74, Rx, 1, 191, 1650, 23.7463751874345, 28.2959850963479, 137.591623036649, 0, 16.39, 0.994764397905759, 1.38, 123504, 28, 118, 0, 
851, 107, 617, 597, 22.372883104139, 76, Rx, 1, 191, 351, 24.2942206994764, 24.3354966553905, 143.246073298429, 0, 17.98, 0.994764397905759, 1.07, 31274, 99, 53, 0, 
852, 107, 521, 610, 17.3331140447338, 77, Rx, 1, 192, 1557, 17.5830055631251, 17.3284824121197, 137.8125, 0, 14.5, 0.994791666666667, 1.45, 113108, 15, 132, 0, 
853, 107, 597, 668, 17.359433618921, 78, Rx, 1, 191, 1205, 11.5384809731937, 12.165698927879, 134.764397905759, 0, 12.34, 0.994764397905759, 1.31, 110498, 36, 107, 0, 
854, 107, 590, 519, 15.1807352041218, 79, Rx, 1, 191, 115, 8.49817812062827, 8.89047469612404, 131.937172774869, 0, 11.5, 0.994764397905759, 0.84, 10899, 120, 20, 0, 
855, 107, 478, 639, 20.9926322587155, 82, Rx, 1, 192, 287, 16.79554314375, 15.8821638860729, 150.9375, 0, 17.6, 0.994791666666667, 1.03, 37313, 124, 37, 0, 
856, 107, 580, 551, 34.4107420419257, 83, Rx, 1, 191, 2165, 26.1362660795812, 27.7559546092875, 133.821989528796, 0, 23.16, 0.994764397905759, 1.49, 195967, 0, 142, 0, 
857, 108, 551, 587, 30.2586310878174, 70, Rx, 1, 191, 484, 19.9372783570681, 22.0412411139243, 133.821989528796, 0, 22.57, 0.994764397905759, 1.32, 62543, 32, 110, 0, 
858, 108, 632, 619, 16.1078365759403, 72, Rx, 1, 193, 3690, 11.1071703096373, 14.0402359632482, 162.279792746114, 0, 14.73, 0.994818652849741, 1.8, 236044, 0, 174, 0, 
859, 108, 560, 722, 25.022491266703, 73, Rx, 1, 193, 2609, 14.9169211162694, 17.7778282474874, 136.165803108808, 0, 18.31, 0.994818652849741, 1.51, 251525, 0, 146, 0, 
860, 108, 592, 685, 25.5650120109327, 74, Rx, 1, 192, 1608, 14.6819283, 16.2296277930914, 134.0625, 0, 18.93, 0.994791666666667, 1.48, 205870, 2, 141, 0, 
861, 108, 507, 695, 24.0586266089885, 75, Rx, 1, 191, 1884, 16.47477396, 17.3396071341744, 138.534031413613, 0, 18.57, 0.994764397905759, 1.54, 124210, 0, 147, 0, 
862, 108, 503, 746, 35.242658001571, 76, Rx, 1, 191, 1403, 22.2871750152879, 22.6365716956511, 134.764397905759, 0, 26.34, 0.994764397905759, 1.34, 152084, 31, 112, 0, 
