Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
70, eco4, 3, 6583, -107.3, 1441.4, 3845.3, 229.4, 24.4, 81, 73.4, 3.71, 166, 5.6, 36.1, 5.2, 1708.6, 179.2, 375.1, 39.5, 384.3, 94.9, 80, 8.4, 39.2, 33.3, 240.2, 1128.7, 1.2, 0.1, 6.7, 1.6, 1.7, 0.4, 1.9, 2.7, 0.4, 0.4, 1.5, 3.7, 5.7, 134.2, 0, -0.5, 0, 0, 1.8, 2, -1.5, 0, 28.75, 0.06, 0.17, 105.7, 1, 2.6, 1.7, 154.2, 2.39, 0, 
70, eco5, 4, 14637, -183.4, 1862.6, 2838.7, 257.7, 28.8, 97.3, 48.8, 2.9, 217.7, 3.8, 36.6, 6.5, 1182.3, 135.1, 287.5, 33.7, 332, 73.7, 66.3, 8, 29, 23.8, 181.5, 1628.2, 0.9, 0.2, 5.3, 1.4, 1.4, 0.4, 1.7, 2.1, 0.3, 0.4, 1, 2.5, 4.1, 193.1, 0, -0.3, 0, 0, 1.1, 1.5, -0.9, 0, 29.26, 0.09, 0.22, 76, 0.7, 3.1, 2.1, 208.2, 1.67, 0, 
80, eco2, 1, 10, 0.7, 1005.5, 29.6, 0, 0, 0, 0, 4, 123.2, 0, 0, 0, 0, 0, 0.6, 0.1, 8.3, 0, 2.3, 0, 0.1, 0.3, 2.2, 1002.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 119, 0, 0, 0, 0, 0, 0, 0, 0, 32.07, 0, 0.16, 0, 0, 0, 0, 123.2, 3.13, 0, 
80, eco3, 2, 9902, 65.5, 1618.7, 5269.9, 106.5, 11.6, 52.4, 92.4, 4.18, 179.7, 6.4, 10.8, 2.1, 2424.7, 248.4, 542.7, 56.2, 462.6, 60.7, 113.1, 5.2, 46.1, 45.7, 341.7, 1185.2, 0.2, 0.1, 9.4, 2.1, 2.4, 0.5, 2.3, 1.7, 0.6, 0.3, 1.1, 5.3, 8.2, 141.2, 0, -0.4, 0, 0, 1.5, 3, -2.4, 0, 28.02, 0.19, 0.42, 170.1, 1.8, 2.3, 1.1, 164.9, 2.75, 0, 
80, eco4, 3, 6583, 64.9, 1440.5, 3511.7, 47.1, 5.7, 20.4, 60.4, 4.45, 163, 4.1, 12.5, 2.5, 1571.2, 164, 377.6, 39.6, 349.2, 35.3, 80, 3.2, 31.6, 32.9, 245, 1130.9, 0.3, 0.1, 6.1, 1.5, 1.7, 0.4, 1.7, 1, 0.4, 0.2, 0.7, 3.8, 6.2, 134.6, 0, -0.2, 0, 0, 0.9, 2, -1.6, 0, 28.78, 0.09, 0.28, 122, 1.4, 0.9, 0.4, 153, 3.23, 0, 
80, eco5, 4, 14637, 52.6, 1864.6, 2622.8, 30.6, 5.4, 17.2, 42.2, 3.85, 216.5, 3, 28, 5.6, 1117.4, 128, 291.3, 34.4, 324.9, 26.3, 67.9, 3.6, 24.1, 23.7, 187.1, 1629.7, 0.6, 0.1, 4.9, 1.3, 1.4, 0.4, 1.6, 0.8, 0.3, 0.2, 0.5, 2.7, 4.5, 193.4, 0, -0.1, 0, 0, 0.6, 1.5, -1.2, 0, 29.37, 0.13, 0.64, 82.2, 0.9, 0.5, 0.2, 207.8, 2.99, 0, 
90, eco2, 1, 10, -2.2, 1005.9, 34.4, 3.4, 0.3, 1.7, 0.3, 3.93, 123.3, 0.1, 0.1, 0, 11.4, 1.1, 1.1, 0.1, 10.9, 1.3, 2.4, 0.1, 0.3, 0.3, 2.3, 1003, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0, 0, 0, 0, 0.1, 119, 0, 0, 0, 0, 0, 0, 0, 0, 31.83, 0, 0.2, 0, 0, 0.1, 0, 123.2, 3.08, 0, 
90, eco3, 2, 9902, -61.2, 1585.4, 4861.4, 230.2, 24.1, 108, 89.7, 3.47, 177.7, 6.9, 23.1, 3.6, 2245.6, 230.9, 487.9, 50.3, 421.1, 77.9, 110, 6.9, 43.5, 42.1, 311.3, 1188.5, 0.7, 0.1, 8.6, 1.9, 2.1, 0.5, 2.1, 2.2, 0.6, 0.4, 1.2, 4.7, 7.4, 141.7, 0, -0.5, 0, 0, 1.6, 3.1, -2.1, 0, 28.7, 0.12, 0.29, 136.9, 1.2, 3.6, 2.4, 163.8, 2.05, 0, 
90, eco4, 3, 6583, -73.4, 1424.3, 3396, 187.5, 20, 83.3, 60.2, 3.58, 162.4, 4.8, 17.2, 3, 1542.2, 160.9, 348, 36.6, 340.2, 56.5, 79.8, 5.2, 31.4, 31.1, 228.6, 1133.1, 0.4, 0.1, 6, 1.5, 1.6, 0.4, 1.7, 1.6, 0.4, 0.3, 0.9, 3.5, 5.6, 134.9, 0, -0.3, 0, 0, 1.1, 2.2, -1.4, 0, 29.89, 0.04, 0.2, 87.9, 0.8, 3, 1.8, 152.4, 2.26, 0, 
90, eco5, 4, 14637, -2.2, 1857.5, 2630.2, 85.2, 11.9, 38.2, 40.8, 3.58, 216, 3.2, 30.4, 6, 1089.3, 124.5, 276.7, 32.4, 313, 26.5, 67.9, 3.6, 22.6, 22.8, 180.8, 1631.2, 0.6, 0.1, 4.8, 1.3, 1.3, 0.4, 1.6, 0.8, 0.3, 0.2, 0.5, 2.6, 4.3, 193.6, 0, -0.1, 0, 0, 0.6, 1.7, -1.3, 0, 28.86, 0.06, 0.46, 73.3, 0.6, 1.6, 0.7, 207.4, 2.6, 0, 
